fields
date
matching_fields
consignee
consignee_address
consignee_city
consignee_state_region
consignee_postal_code
consignee_country
consignee_full_address
consignee_email_1
consignee_email_2
consignee_email_3
consignee_phone_1
consignee_phone_2
consignee_phone_3
consignee_fax
consignee_website_1
consignee_website_2
consignee_profile
consignee_d_u_n_s_r
consignee_industry
consignee_revenue
consignee_employees
consignee_market_capitalization
consignee_incorporation_year
consignee_trade_roles
consignee_sic_codes
consignee_stock_tickers
consignee_ultimate_parent
consignee_ultimate_parent_website
consignee_ultimate_parent_headquarters_address
consignee_ultimate_parent_profile
consignee_ultimate_parent_stock_tickers
shipper
shipper_address
shipper_city
shipper_state_region
shipper_postal_code
shipper_country
shipper_full_address
shipper_email_1
shipper_email_2
shipper_email_3
shipper_phone_1
shipper_phone_2
shipper_phone_3
shipper_fax
shipper_website_1
shipper_website_2
shipper_profile
shipper_d_u_n_s_r
shipper_industry
shipper_revenue
shipper_employees
shipper_market_capitalization
shipper_incorporation_year
shipper_trade_roles
shipper_sic_codes
shipper_stock_tickers
shipper_ultimate_parent
shipper_ultimate_parent_website
shipper_ultimate_parent_headquarters_address
shipper_ultimate_parent_profile
shipper_ultimate_parent_stock_tickers
scac
shipment_origin
shipment_destination
port_of_lading
port_of_lading_country
port_of_lading_un_locode
port_of_unlading
port_of_unlading_country
port_of_unlading_un_locode
transport_method
hs_code
goods_shipped
is_containerized
volume_teu
weight_kg
value_usd
data_source
data_source_trade_direction
parcel_size_mt
